account_id,account_name,industry,segment,country,created_date
A0001,Summit Digital,Logistics,Mid-Market,Italy,2024-09-19
A0002,Apex Systems,Fintech,Mid-Market,Sweden,2026-03-28
A0003,Apex Analytics,Telecom,SMB,Denmark,2025-11-18
A0004,North Works,Media,Enterprise,Denmark,2025-01-29
A0005,Harbor Logistics,Fintech,Mid-Market,Netherlands,2025-01-25
A0006,Nova Holdings,Fintech,Enterprise,Sweden,2026-02-14
A0007,Lumen Analytics,Fintech,Mid-Market,Italy,2025-10-26
A0008,Ember Networks,Fintech,Enterprise,France,2025-03-11
A0009,Lumen Holdings,SaaS,SMB,Ireland,2024-07-10
A0010,Orbit Labs,Media,Enterprise,Italy,2024-10-17
A0011,Quanta Networks,Healthcare,SMB,Denmark,2026-04-07
A0012,Cobalt Industries,Media,SMB,Spain,2025-10-12
A0013,Lumen Systems,SaaS,SMB,Denmark,2025-12-24
A0014,Apex Digital,Healthcare,SMB,Italy,2025-04-04
A0015,Lumen Works,Healthcare,SMB,Germany,2025-12-06
A0016,Lumen Networks,Retail,Mid-Market,Netherlands,2026-03-06
A0017,Summit Networks,Energy,SMB,Sweden,2026-02-21
A0018,Summit Analytics,Education,SMB,United Kingdom,2024-11-11
A0019,Vertex Dynamics,Retail,Mid-Market,Belgium,2024-07-17
A0020,Quanta Holdings,SaaS,SMB,Italy,2024-05-16
A0021,Pulse Solutions,Fintech,Enterprise,Spain,2024-12-05
A0022,Pulse Labs,SaaS,Enterprise,France,2025-08-09
A0023,Cedar Works,Energy,SMB,Sweden,2025-09-11
A0024,Cobalt Industries,Manufacturing,SMB,Denmark,2025-03-18
A0025,Ember Holdings,Education,SMB,Germany,2025-10-03
A0026,Vertex Digital,Media,SMB,United Kingdom,2024-08-31
A0027,Ember Holdings,SaaS,Enterprise,Netherlands,2026-03-05
A0028,Orbit Industries,Healthcare,Mid-Market,Ireland,2024-12-31
A0029,Vertex Digital,Retail,SMB,Italy,2024-07-14
A0030,Ember Holdings,SaaS,SMB,Denmark,2025-10-01
A0031,Pulse Solutions,Education,SMB,France,2024-10-09
A0032,Orbit Logistics,Telecom,SMB,Belgium,2025-10-24
A0033,Quanta Logistics,Media,SMB,Italy,2024-09-15
A0034,Pulse Works,Fintech,SMB,United Kingdom,2024-12-02
A0035,Lumen Digital,Healthcare,Mid-Market,Spain,2024-06-22
A0036,Summit Logistics,SaaS,SMB,Ireland,2026-02-12
A0037,Vertex Networks,Energy,Enterprise,Denmark,2024-08-23
A0038,Pulse Solutions,Manufacturing,SMB,Belgium,2025-12-18
A0039,Summit Systems,Logistics,Mid-Market,Italy,2024-06-10
A0040,Lumen Dynamics,Fintech,Enterprise,Ireland,2025-06-21
A0041,Cedar Industries,Healthcare,Enterprise,Germany,2024-10-29
A0042,North Works,Logistics,Enterprise,Italy,2026-03-17
